,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage,Previous Total,Growth Rate
18,Indonesia,"5,554","5,271","4,358","5,702","4,799","5,187","4,739","4,378","4,871","4,619","4,328","3,279","57,085",0.96%,"53,707",6.29%
19,Spain,"3,613","3,304","3,716","2,712","2,610","2,959","4,749","6,918","3,093","3,346","4,836","4,290","46,146",0.78%,"34,063",35.47%
20,Thailand,"3,340","3,573","3,746","4,919","3,948","3,958","3,631","3,606","3,700","4,207","4,015","3,253","45,896",0.77%,"40,952",12.07%
21,United Arab Emirates,"3,010","2,875","3,989","4,191","3,226","3,294","3,827","3,311","2,988","3,006","3,107","3,202","40,026",0.67%,"33,769",18.53%
22,Guam,"2,816","2,697","3,459","2,638","3,148","4,115","4,117","2,486","2,304","3,007","3,280","3,542","37,609",0.63%,"35,501",5.94%
23,Netherlands,"3,984","3,546","3,107","3,038","2,424","1,521","3,582","2,038","1,717","2,302","3,531","3,936","34,726",0.58%,"31,956",8.67%
24,Italy,"3,530","3,073","2,627","2,260","1,268","1,478","1,901","3,000","1,170","1,556","2,496","5,584","29,943",0.50%,"22,496",33.10%
25,New Zealand,"2,869","1,794","2,089","2,331","1,952","2,198","1,998","1,709","1,912","2,000","2,342","4,999","28,193",0.47%,"29,272",0
26,Russian Federation,"3,266","3,237","2,707","2,537","1,478","1,132","1,056","1,181","1,358","2,319","3,764","3,567","27,602",0.46%,"23,104",19.47%
27,Switzerland,"2,843","3,293","3,080","2,717","1,656",946,"2,251",949,"1,321","1,777","2,444","3,773","27,050",0.45%,"24,048",12.48%
28,Saudi Arabia,"1,640","1,788","1,046","2,214","1,534","2,369","2,026","1,869","2,297","2,067","2,301","1,278","22,429",0.38%,"19,311",16.15%
29,Norway,"1,639","1,714","1,504","1,012",807,"2,503","3,334",834,847,"1,039","1,354","2,513","19,100",0.32%,"20,000",0
30,Sweden,"2,187","2,071","1,629","1,203",908,"1,560","1,368",636,733,"1,061","1,477","3,311","18,144",0.30%,"16,789",8.07%
31,Ireland,"1,509","1,281","1,355","1,197","1,249","1,812","1,536","1,047",888,"1,214","1,138","1,885","16,111",0.27%,"16,379",0
32,Israel,796,"1,021","1,077","1,678","1,464",940,"1,016",804,"1,594","1,769","1,676","1,702","15,537",0.26%,"13,334",16.52%
33,Poland,"2,360","2,176","1,437","1,366",591,375,377,390,551,965,"2,784","1,922","15,294",0.26%,"9,923",54.13%
34,Belgium,"1,378","1,603","1,479","1,167",959,"1,081","1,735",843,825,933,"1,443","1,648","15,094",0.25%,"14,459",4.39%
35,Austria,"1,931","1,799","1,288","1,103",865,790,"1,236",858,556,805,"1,202","1,766","14,199",0.24%,"13,180",7.73%
36,Denmark,"1,744","1,712","1,656",972,674,644,"1,049",549,680,988,"1,343","1,748","13,759",0.23%,"12,294",11.92%
37,Turkey,"1,525","1,164","1,106","1,104",957,"1,040",953,999,"1,091",987,"1,018","1,068","13,012",0.22%,"10,026",29.78%
38,United States Minor Outlying Islands,559,536,612,835,"1,281","1,424","1,368","1,083",922,"1,115","1,149","1,381","12,265",0.21%,"2,291",435.36%
39,Qatar,951,890,866,"1,474",949,"1,147","1,106","1,044",850,830,727,962,"11,796",0.20%,"10,438",13.01%
40,Myanmar,"1,124",750,"1,846",764,"1,092",965,566,427,340,531,447,291,"9,143",0.15%,"6,395",42.97%
41,Papua New Guinea,587,476,732,644,566,741,693,558,"1,088",813,944,670,"8,512",0.14%,"6,243",36.34%
42,Kuwait,648,879,503,760,653,568,623,688,518,628,606,628,"7,702",0.13%,"6,915",11.38%
43,Czech Republic,998,"1,168",909,632,274,195,346,220,278,357,705,911,"6,993",0.12%,"5,812",20.32%
44,Bahrain,573,516,444,671,601,567,649,509,453,561,494,393,"6,431",0.11%,"5,886",9.26%
45,Brunei,374,712,540,595,440,392,508,551,340,372,506,681,"6,011",0.10%,"6,639",0
46,Romania,805,871,483,387,273,171,206,188,217,301,584,945,"5,431",0.09%,"4,171",30.21%
47,Portugal,573,577,575,600,264,246,213,295,250,382,738,593,"5,306",0.09%,"4,171",27.21%
48,Brazil,614,635,532,481,350,267,252,256,288,327,533,581,"5,116",0.09%,"4,275",19.67%
49,South Africa,443,457,445,393,391,341,363,342,402,360,383,698,"5,018",0.08%,"4,525",10.90%
50,Finland,653,612,448,303,321,357,276,147,239,367,470,742,"4,935",0.08%,"4,533",8.87%
51,Bangladesh,371,368,251,387,340,374,355,347,406,400,667,548,"4,814",0.08%,"4,191",14.87%
52,Macau,269,631,450,331,400,307,404,348,340,345,336,309,"4,470",0.08%,"4,593",0
53,Oman,347,315,273,338,368,310,518,361,413,320,384,330,"4,277",0.07%,"2,695",58.70%
54,Mongolia,793,331,201,172,148,573,364,195,172,258,271,784,"4,262",0.07%,"4,665",0
55,Pakistan,303,292,261,207,285,288,330,429,501,392,523,391,"4,202",0.07%,"3,109",35.16%
56,Nepal,328,294,292,379,249,317,373,313,385,419,354,347,"4,050",0.07%,"3,646",11.08%
57,Cambodia,251,326,252,419,309,310,318,341,389,323,515,257,"4,010",0.07%,"3,999",0.28%
58,Greece,412,377,287,325,172,182,169,178,179,227,520,353,"3,381",0.06%,"3,095",9.24%
59,Mexico,315,322,276,270,242,220,243,225,293,321,323,219,"3,269",0.05%,"2,833",15.39%
60,Sri Lanka,207,326,215,245,263,252,256,268,281,218,248,176,"2,955",0.05%,"2,779",6.33%
61,Hungary,391,370,407,172,146,131,116,115,101,246,262,329,"2,786",0.05%,"2,319",20.14%
62,Argentina,489,321,310,310,229,123,110,112,140,168,194,219,"2,725",0.05%,"1,809",50.64%
63,Bulgaria,355,401,245,166,126,228,104,79,142,176,354,228,"2,604",0.04%,"2,152",21.00%
64,Slovakia,337,334,307,259,133,88,78,83,88,128,354,362,"2,551",0.04%,"2,177",17.18%
65,Nigeria,217,277,216,223,177,216,196,180,167,151,153,119,"2,292",0.04%,"3,301",0
66,Northern Mariana Islands,158,153,145,101,146,339,379,163,176,146,141,209,"2,256",0.04%,"2,588",0
67,Kazakhstan,262,284,192,132,155,112,111,177,117,133,201,168,"2,044",0.03%,"1,415",44.45%
68,Colombia,170,169,203,179,186,157,151,126,153,197,213,130,"2,034",0.03%,"1,843",10.36%
69,Chile,268,287,190,198,200,103,99,88,139,142,152,129,"1,995",0.03%,"1,547",28.96%
70,Lithuania,280,305,276,117,96,68,65,48,62,125,285,256,"1,983",0.03%,"1,868",6.16%
71,Morocco,178,239,75,155,142,103,162,170,156,165,189,127,"1,861",0.03%,"1,779",4.61%
72,Slovenia,230,356,204,173,62,44,91,72,75,142,119,242,"1,810",0.03%,"1,318",37.33%
73,Croatia,197,230,169,109,72,57,58,70,71,92,169,258,"1,552",0.03%,"1,334",16.34%
74,Maldives,154,156,45,125,156,168,147,172,96,120,73,98,"1,510",0.03%,"1,252",20.61%
75,Iceland,140,79,87,83,110,205,217,80,79,88,79,220,"1,467",0.02%,"1,267",15.79%
76,Estonia,320,254,171,78,28,41,30,40,45,76,164,209,"1,456",0.02%,"1,243",17.14%
77,Cyprus,170,126,136,114,100,144,98,141,69,85,129,143,"1,455",0.02%,"1,332",9.23%
78,Egypt,105,112,73,122,133,145,128,121,114,114,117,124,"1,408",0.02%,"1,354",3.99%
79,Palau,87,71,117,110,86,76,109,142,72,76,257,90,"1,293",0.02%,"1,346",0
80,Malta,168,132,119,91,76,126,91,78,50,70,97,195,"1,293",0.02%,"1,178",9.76%
81,Latvia,186,165,180,83,44,67,22,24,34,73,208,182,"1,268",0.02%,"1,250",1.44%
82,Ukraine,110,137,131,72,100,106,47,57,67,113,119,128,"1,187",0.02%,854,38.99%
83,Serbia,194,214,104,91,31,31,36,52,63,54,115,188,"1,173",0.02%,"1,101",6.54%
84,Micronesia,31,79,78,89,99,57,97,127,83,106,215,61,"1,122",0.02%,914,22.76%
85,Laos,65,70,73,165,81,133,59,64,90,98,136,79,"1,113",0.02%,988,12.65%
86,Luxembourg,90,96,159,110,64,41,104,136,42,66,73,130,"1,111",0.02%,962,15.49%
87,Uruguay,100,63,296,386,61,42,30,17,19,31,26,28,"1,099",0.02%,"1,725",0
88,Iran,73,85,287,43,70,67,57,130,51,82,73,54,"1,072",0.02%,"1,172",0
89,Fiji,65,55,65,63,46,85,70,81,88,118,90,83,909,0.02%,737,23.34%
90,Ghana,57,153,50,53,60,57,67,82,81,96,84,60,900,0.02%,603,49.25%
91,Tunisia,93,169,30,87,71,40,49,56,57,57,89,74,872,0.01%,882,0
92,Peru,111,108,96,81,50,37,32,53,52,83,83,80,866,0.01%,737,17.50%
93,Kenya,62,122,84,55,74,88,109,103,59,30,38,38,862,0.01%,963,0
94,Cameroon,61,121,77,67,68,54,48,76,101,75,47,46,841,0.01%,566,48.59%
95,Uzbekistan,92,133,59,55,68,50,36,90,61,46,69,71,830,0.01%,701,18.40%
96,Timor,67,27,41,33,69,84,86,86,33,79,40,29,674,0.01%,479,40.71%
97,Costa Rica,56,76,59,74,65,41,20,43,34,44,62,42,616,0.01%,484,27.27%
98,Marshall Islands,37,25,50,56,70,52,35,59,24,41,89,57,595,0.01%,590,0.85%
99,Jordan,57,49,38,59,32,34,56,55,40,33,71,46,570,0.01%,598,0
100,Lebanon,58,44,71,73,43,39,36,45,43,37,43,27,559,0.01%,603,0
101,Belarus,94,76,41,43,19,31,14,16,28,45,83,40,530,0.01%,337,57.27%
102,Isle Of Man,61,37,68,50,36,27,43,42,22,32,36,70,524,0.01%,539,0
103,Zimbabwe,29,55,54,27,24,23,26,50,49,62,46,41,486,0.01%,314,54.78%
104,Solomon Islands,25,18,12,38,37,55,60,49,66,37,51,26,474,0.01%,539,0
105,Ecuador,39,31,36,41,42,38,37,50,24,63,34,21,456,0.01%,374,21.93%
106,Kyrgyzstan,42,75,30,40,42,32,15,36,32,26,41,21,432,0.01%,337,28.19%
107,Mauritius,47,35,40,40,33,25,41,17,64,29,32,27,430,0.01%,350,22.86%
108,Georgia,43,67,31,19,29,39,13,15,33,36,40,40,405,0.01%,349,16.05%
109,Uganda,28,114,35,30,30,36,31,46,21,16,6,7,400,0.01%,339,17.99%
110,Armenia,12,26,37,25,19,52,15,16,29,67,46,40,384,0.01%,360,6.67%
111,Bhutan,60,17,25,14,39,44,20,36,24,24,28,49,380,0.01%,272,39.71%
112,Tanzania,33,35,26,35,24,24,24,30,61,25,32,30,379,0.01%,282,34.40%
113,Jersey,40,37,29,39,33,11,18,33,13,15,30,60,358,0.01%,341,4.99%
114,Puerto Rico,16,26,22,37,29,23,41,24,29,30,27,29,333,0.01%,347,0
115,Ethiopia,34,20,16,25,24,16,35,30,24,22,46,39,331,0.01%,297,11.45%
116,Panama,29,35,17,40,27,19,27,20,25,22,29,25,315,0.01%,303,3.96%
117,Guatemala,32,29,35,49,18,33,15,13,23,22,21,22,312,0.01%,214,45.79%
118,Vanuatu,20,25,29,23,29,29,21,19,27,23,31,19,295,0.00%,269,9.67%
119,Tajikistan,35,26,19,18,35,24,12,13,25,23,23,21,274,0.00%,271,1.11%
120,Jamaica,18,42,38,7,15,13,22,26,29,29,14,13,266,0.00%,212,25.47%
121,Iraq,8,38,49,21,24,10,34,22,14,12,10,16,258,0.00%,230,12.17%
122,Zambia,13,41,21,10,10,16,18,28,29,20,9,40,255,0.00%,169,50.89%
123,Andorra,15,14,17,39,30,26,23,24,19,18,19,9,253,0.00%,188,34.57%
124,Bermuda,36,16,16,17,21,12,29,20,6,21,13,37,244,0.00%,203,20.20%
125,Cayman Islands,17,12,10,6,16,16,43,30,28,21,21,18,238,0.00%,209,13.88%
126,Trinidad And Tobago,16,20,47,21,12,5,15,11,28,26,14,15,230,0.00%,160,43.75%
127,Syria,9,14,14,13,9,25,19,31,24,14,42,14,228,0.00%,182,25.27%
128,Turkmenistan,17,19,21,15,11,27,14,38,16,12,7,21,218,0.00%,116,87.93%
129,New Caledonia,62,22,35,15,7,3,4,22,10,12,11,13,216,0.00%,215,0.47%
130,Cote Divoire Ivory Coast,18,48,10,14,16,16,16,13,13,20,19,9,212,0.00%,228,0
131,Albania,22,37,13,10,15,9,8,10,18,26,25,19,212,0.00%,214,0
132,Honduras,15,28,46,7,15,14,25,10,19,12,12,8,211,0.00%,165,27.88%
133,Congo Democratic Republic Of,17,22,22,26,19,30,19,37,6,6,4,2,210,0.00%,255,0
134,Madagascar,18,11,14,9,13,23,22,21,32,11,14,10,198,0.00%,147,34.69%
135,Angola,22,8,10,14,18,19,20,21,13,8,11,31,195,0.00%,238,0
136,American Samoa,24,26,22,16,20,13,14,8,12,16,13,10,194,0.00%,320,0
137,British Indian Ocean Territory,30,25,21,6,9,14,18,6,12,14,14,15,184,0.00%,205,0
138,Guernsey,27,27,33,26,10,4,4,4,2,8,14,21,180,0.00%,169,6.51%
139,Moldova,21,33,19,9,23,4,10,6,6,10,17,19,177,0.00%,162,9.26%
140,Venezuela,15,22,15,10,12,17,13,10,14,14,15,15,172,0.00%,151,13.91%
141,Reunion,29,13,17,18,10,4,22,5,9,9,13,23,172,0.00%,145,18.62%
142,Samoa,4,10,16,9,6,15,10,17,29,18,18,13,165,0.00%,120,37.50%
143,Monaco,21,23,14,12,5,8,7,13,7,19,22,14,165,0.00%,136,21.32%
144,Bosnia And Herzegovina,14,24,13,11,14,12,10,8,11,10,21,12,160,0.00%,135,18.52%
145,Dominican Republic,4,16,14,19,10,8,9,12,37,15,9,5,158,0.00%,196,0
146,Faroe Islands,18,16,3,5,16,21,29,2,9,6,11,20,156,0.00%,153,1.96%
147,El Salvador,13,14,24,12,9,6,9,16,8,17,10,16,154,0.00%,184,0
148,Senegal,4,20,6,35,11,8,8,13,17,5,20,6,153,0.00%,121,26.45%
149,French Polynesia,13,14,18,12,9,10,15,13,7,13,11,18,153,0.00%,114,34.21%
150,Bolivia,15,11,11,20,15,9,9,5,5,19,9,24,152,0.00%,157,0
151,Sudan,17,11,11,14,16,7,15,16,14,9,11,5,146,0.00%,175,0
152,Gibraltar,22,11,11,16,5,13,12,2,8,4,15,26,145,0.00%,147,0
153,Tonga,17,3,6,7,9,9,12,13,11,23,22,11,143,0.00%,122,17.21%
154,Liberia,5,9,11,13,12,10,13,14,19,12,12,11,141,0.00%,133,6.02%
155,Paraguay,10,24,8,6,14,8,10,16,16,7,16,3,138,0.00%,130,6.15%
156,Aland Islands,3,16,20,22,3,24,15,7,13,2,2,2,129,0.00%,80,61.25%
157,Namibia,11,7,11,3,10,4,9,9,2,18,8,27,119,0.00%,139,0
158,Nicaragua,9,16,9,3,8,7,2,15,16,11,16,6,118,0.00%,89,32.58%
159,Bahamas,11,13,7,12,5,7,9,9,14,15,6,10,118,0.00%,112,5.36%
160,Liechtenstein,15,10,18,4,12,9,8,7,8,3,9,14,117,0.00%,120,0
161,Montenegro,10,21,15,4,2,5,5,3,1,10,13,28,117,0.00%,76,53.95%
162,Algeria,8,5,8,9,13,14,14,13,10,9,7,5,115,0.00%,79,45.57%
163,Rwanda,12,9,9,6,17,8,14,19,9,1,3,2,109,0.00%,134,0
164,Malawi,13,4,10,6,4,9,13,6,15,14,8,6,108,0.00%,103,4.85%
165,Saint Kitts And Nevis,8,17,6,6,7,12,9,8,12,12,3,4,104,0.00%,95,9.47%
166,Aruba,8,3,3,10,21,8,7,11,9,12,7,5,104,0.00%,103,0.97%
167,Macedonia,12,7,10,12,6,7,5,1,9,9,5,16,99,0.00%,92,7.61%
168,Azerbaijan,8,8,7,1,5,6,9,9,9,7,17,12,98,0.00%,76,28.95%
169,Afghanistan,17,6,3,5,9,6,5,11,9,12,8,6,97,0.00%,181,0
170,Mozambique,2,10,10,5,10,2,13,3,8,12,6,10,91,0.00%,109,0
171,Libya,8,0,4,11,12,4,12,5,6,5,11,11,89,0.00%,89,0.00%
172,Kiribati,10,8,11,6,6,4,8,7,8,8,4,7,87,0.00%,71,22.54%
173,Eswatini,8,17,12,7,2,3,5,7,2,9,2,3,77,0.00%,107,0
174,Botswana,5,10,7,5,9,7,9,9,4,3,1,5,74,0.00%,83,0
175,Seychelles,1,5,7,9,9,1,7,3,5,5,3,18,73,0.00%,91,0
176,Togo,8,16,0,7,5,3,2,4,9,4,5,7,70,0.00%,50,40.00%
177,Saint Lucia,9,8,12,0,8,13,4,4,3,3,1,4,69,0.00%,37,86.49%
178,Haiti,3,4,3,6,6,5,6,10,4,10,8,3,68,0.00%,30,126.67%
179,Guinea,12,5,2,7,3,8,6,5,5,6,3,3,65,0.00%,55,18.18%
180,Cook Islands,3,4,3,8,2,8,8,3,7,6,5,6,63,0.00%,48,31.25%
181,Burkina Faso,4,3,4,6,0,26,6,2,4,3,2,2,62,0.00%,66,0
182,Barbados,2,8,6,3,8,3,2,3,5,2,11,4,57,0.00%,31,83.87%
183,Turks And Caicos,1,0,3,3,3,1,4,10,7,7,12,5,56,0.00%,33,69.70%
184,Belize,2,7,0,4,1,2,7,14,6,2,7,2,54,0.00%,49,10.20%
185,Yemen,5,4,1,3,4,2,3,12,7,3,5,4,53,0.00%,51,3.92%
186,Gambia,1,4,3,7,5,5,5,5,3,8,2,3,51,0.00%,44,15.91%
187,Congo Republic Of Cap Brazzaville,3,3,2,4,5,1,3,4,8,3,7,8,51,0.00%,54,0
188,Virgin Islands Us,5,1,3,6,6,6,5,4,3,5,1,5,50,0.00%,56,0
189,Guyana,2,7,7,3,4,2,3,3,8,2,4,3,48,0.00%,28,71.43%
190,Burundi,0,3,0,4,8,12,14,3,0,2,0,0,46,0.00%,44,4.55%
191,Greenland,6,2,5,3,2,8,2,4,2,5,3,2,44,0.00%,42,4.76%
192,Equatorial Guinea,3,1,5,1,4,3,1,8,4,3,2,9,44,0.00%,20,120.00%
193,Tuvalu,1,4,1,3,4,2,3,4,3,6,7,5,43,0.00%,34,26.47%
194,Benin,2,5,0,5,2,5,3,1,5,10,4,0,42,0.00%,39,7.69%
195,Mali,4,5,1,2,2,5,1,4,6,3,4,5,42,0.00%,27,55.56%
196,Falkland Islands Malvinas,0,0,3,3,1,4,9,6,0,1,3,10,40,0.00%,28,42.86%
197,British Virgin Islands,1,3,0,2,4,5,3,2,4,8,1,5,38,0.00%,32,18.75%
198,Antigua And Barbuda,2,2,1,5,3,3,2,3,3,5,6,2,37,0.00%,31,19.35%
199,Nauru,2,1,0,0,3,3,2,2,3,6,10,5,37,0.00%,13,184.62%
200,Sint Maarten Dutch Part,1,1,3,3,1,7,5,1,1,4,5,4,36,0.00%,38,0
201,French Southern Territories,3,2,2,4,3,2,3,3,1,5,3,5,36,0.00%,12,200.00%
202,Palestine State,0,3,2,3,3,4,2,8,0,2,4,5,36,0.00%,59,0
203,San Marino,7,10,2,1,0,0,1,0,2,2,5,5,35,0.00%,30,16.67%
204,Curacao,4,0,2,2,5,7,1,1,1,5,2,4,34,0.00%,33,3.03%
205,Dominica,1,5,4,1,3,5,1,3,4,2,4,0,33,0.00%,22,50.00%
206,Chad,1,3,2,1,4,6,4,4,3,2,1,1,32,0.00%,33,0
207,Suriname,3,2,2,2,1,7,5,1,4,1,3,1,32,0.00%,42,0
208,Gabon,2,4,2,5,0,5,1,3,3,3,2,1,31,0.00%,25,24.00%
209,Guadeloupe,3,4,3,2,2,0,7,3,1,2,0,4,31,0.00%,30,3.33%
210,Eritrea,0,2,1,1,1,2,7,6,4,0,3,0,27,0.00%,8,237.50%
211,Martinique,0,0,0,5,4,0,8,1,1,1,2,2,24,0.00%,31,0
212,Saint Vincent And The Grenadines,4,3,7,0,2,3,0,1,1,2,0,0,23,0.00%,25,0
213,Somalia,1,2,1,2,0,2,4,1,5,1,3,1,23,0.00%,13,76.92%
214,Grenada,1,7,3,2,2,0,2,0,0,3,0,2,22,0.00%,44,0
215,Sierra Leone,3,0,2,0,1,1,1,4,4,3,1,2,22,0.00%,23,0
216,Lesotho,1,1,3,2,1,0,3,0,2,6,1,0,20,0.00%,11,81.82%
217,Niue,4,0,0,2,0,4,2,2,1,0,4,0,19,0.00%,6,216.67%
218,Central African Republic,3,3,1,2,0,2,2,2,1,0,2,1,19,0.00%,34,0
219,Wallis And Futuna,14,2,0,0,0,0,1,1,0,0,0,0,18,0.00%,1,1700.00%
220,Djibouti,1,4,3,1,1,0,2,2,1,1,0,2,18,0.00%,10,80.00%
221,Niger,3,3,0,2,1,0,1,3,0,2,1,0,16,0.00%,14,14.29%
222,Mauritania,0,2,0,2,1,2,0,0,2,2,5,0,16,0.00%,9,77.78%
223,Anguilla,1,0,2,1,1,0,2,4,2,2,0,1,16,0.00%,10,60.00%
224,Cabo Verde,0,3,1,2,2,0,0,1,0,3,2,0,14,0.00%,14,0.00%
225,Bonaire Sint Eustatius And Saba,1,0,1,0,4,0,1,1,5,0,0,0,13,0.00%,22,0
226,Kosovo,0,0,0,0,0,0,0,3,1,6,2,1,13,0.00%,0,0.00%
227,Comoros,1,0,0,1,2,2,1,2,1,1,0,0,11,0.00%,12,0
228,Saint Barthelemy,2,0,4,2,0,2,0,0,0,0,1,0,11,0.00%,1,1000.00%
229,French Guiana,1,0,0,0,1,3,3,1,0,0,1,1,11,0.00%,27,0
230,North Korea,1,4,3,0,0,0,0,1,1,0,0,0,10,0.00%,3,233.33%
231,Christmas Island,0,2,0,1,1,0,3,0,0,2,0,1,10,0.00%,5,100.00%
232,Guinea,1,0,0,3,0,1,1,0,0,0,1,3,10,0.00%,8,25.00%
233,Cuba,0,0,1,0,0,1,4,1,0,1,1,0,9,0.00%,9,0.00%
234,Norfolk Island,4,0,0,0,1,1,1,0,0,0,0,0,7,0.00%,9,0
235,Saint Martin French Part,2,0,0,1,1,0,1,0,0,0,0,0,5,0.00%,8,0
236,Svalbard And Jan Mayen,1,0,0,0,1,0,2,0,1,0,0,0,5,0.00%,0,0.00%
237,Antarctica,1,0,2,0,0,0,0,0,0,0,0,0,3,0.00%,9,0
238,Saint Helena,0,0,0,0,0,0,0,0,1,1,0,0,2,0.00%,4,0
239,Vatican City State,0,0,0,0,0,0,0,1,0,0,1,0,2,0.00%,2,0.00%
240,Mayotte,0,0,0,0,0,0,0,0,0,1,0,1,2,0.00%,1,100.00%
241,Saint Pierre And Miquelon,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00%,1,0.00%
242,Montserrat,0,0,0,0,0,0,0,0,0,0,0,1,1,0.00%,2,0
243,Sao Tome And Principe,0,0,0,0,0,0,0,0,0,0,0,1,1,0.00%,9,0
244,Cocos Keeling Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,6,0
245,South Georgia And The South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2,0
246,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,1,0
