,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage,Previous Total,Growth Rate
51,Bangladesh,368,332,355,346,318,314,393,353,425,461,519,407,4591.0,0.07,"4,516",1.66
52,Pakistan,433,368,407,401,360,289,424,343,367,284,393,300,4369.0,0.07,"4,256",2.66
53,Qatar,393,346,346,391,341,380,346,369,319,305,316,343,4195.0,0.06,"4,745",-11.59
54,Portugal,565,325,360,516,281,205,204,229,223,310,561,410,4189.0,0.06,"2,999",39.68
55,Bahrain,308,298,285,350,258,284,503,392,283,298,281,255,3795.0,0.06,"3,689",2.87
56,Greece,253,275,303,268,247,202,185,205,249,251,352,375,3165.0,0.05,"2,483",27.47
57,Argentina,533,380,367,353,291,178,79,118,115,211,242,290,3157.0,0.05,"2,369",33.26
58,Iran,182,131,433,210,208,246,178,196,209,176,249,180,2598.0,0.04,"2,720",-4.49
59,Egypt,175,135,141,192,199,142,241,134,146,148,178,169,2000.0,0.03,"1,985",0.76
60,Colombia,182,104,153,145,119,114,131,121,132,157,146,243,1747.0,0.03,"1,431",22.08
61,Laos,48,107,77,168,106,119,131,155,211,180,199,79,1580.0,0.02,"1,173",34.70
62,Nigeria,155,124,97,94,111,96,170,198,160,134,128,91,1558.0,0.02,"1,489",4.63
63,Peru,80,55,67,73,73,38,43,45,50,53,72,359,1008.0,0.02,581,73.49
64,Jordan,73,54,63,76,80,58,89,48,44,53,64,43,745.0,0.01,718,3.76
65,Luxembourg,51,64,70,86,47,24,71,67,41,67,63,71,722.0,0.01,833,-13.33
66,Andorra,30,16,23,17,33,21,17,66,28,31,40,35,357.0,0.01,364,-1.92
67,Venezuela,35,28,14,25,13,11,21,15,21,19,33,22,257.0,0.00,271,-5.17
68,Nauru,1,2,2,-,1,,1,2,-,-,7,,16.0,0.00,17,-5.88
